,Company_Brand,Sector,Stage,Amount($),HeadQuarter,Year
283,Vogo Rentals,Transport,Debt,1176000.0,Kormangala,2018
284,LivQuik,Finance,Corporate Round,2700000.0,Mumbai,2018
285,Disprz,Education,Debt,400000.0,Chennai,2018
286,9stacks,Sports,Series A,4116000.0,New Delhi,2018
287,YourOwnROOM,Business Intelligence,Pre-series A,750000.0,Bangalore,2018
288,Vahdam Teas,Food & Beverages,Series B,2500000.0,New Delhi,2018
289,PharmEasy,LifeStyle,Series C,80000000.0,Mumbai,2018
290,Licious,Transport,Series C,25000000.0,Bangalore,2018
291,Bounce (Metro Bikes),Transport,Debt,3000000.0,Bangalore,2018
292,Goals101,Finance,Pre-series A,3500000.0,New Delhi,2018
293,Ummeed Housing Finance Private Limited,Finance,Series C,8820000.0,Haryana,2018
294,StockEdge,Business Intelligence,Pre-series A,1100000.0,Kolkata,2018
295,Urban Ladder,LifeStyle,Debt,5600000.0,Bangalore,2018
296,Parkwheels,Manufacturing,Pre-series A,176400.0,Haryana,2018
297,ShareChat,Business Intelligence,Series C,99230000.0,Bangalore,2018
298,Cyclops Medtech,Education,Pre-series A,1000000.0,Bangalore,2018
299,Livspace,LifeStyle,Series C,70000000.0,Bangalore,2018
300,NewsBytes,Hospitality,Pre-series A,1000000.0,Gurgaon,2018
301,Leena AI,Business Intelligence,Pre-series A,2000000.0,Gurgaon,2018
302,GoGaga,Business Intelligence,Pre-series A,40000.0,Bangalore,2018
303,Mate Labs,Education,Pre-series A,550000.0,Bangalore,2018
304,DocPrime,Finance,Pre-series A,50000000.0,Haryana,2018
305,CLP India Pvt. Ltd.,Energy,Equity,365000000.0,Mumbai,2018
306,Vokal,Business Intelligence,Series A,1500000.0,Bangalore,2018
307,Kissht,Finance,Series C,30000000.0,Mumbai,2018
308,Upwards Fintech,Finance,Series A,5000000.0,Mumbai,2018
309,Bon(Bonfleet Solutions),Finance,Pre-series A,1146600.0,Pune,2018
310,Mamaearth,Commerce,Series A,4000000.0,Gurgaon,2018
311,Verzeo,Education,Series A,5000000.0,Bangalore,2018
312,Haazri,Food & Beverages,Pre-series A,183750.0,Mumbai,2018
313,Flyrobe,Beauty & Fashion,Series B,3880800.0,Mumbai,2018
314,Dream11,Sports,Series D,100000000.0,Mumbai,2018
315,Chaayos,Food & Beverages,Series B,11907000.0,New Delhi,2018
316,LT Foods,Food & Beverages,Equity,20580000.0,New Delhi,2018
317,Multibashi,Education,Pre-series A,147000.0,Bangalore,2018
318,Dailyhunt,Media & Entertainment,Series E,6000000.0,Bangalore,2018
319,SlicePay,Finance,Series A,14900000.0,Bangalore,2018
320,Udaan,Commerce,Series C,225000000.0,Bangalore,2018
321,Mombay,Food & Beverages,Pre-series A,7500.0,Mumbai,2018
322,Droni Tech,Technology,Pre-series A,514500.0,Mumbai,2018
323,Netmeds,Health,Series C,35000000.0,Chennai,2018
324,Ruangguru,Education,Series C,150000000.0,Mumbai,2019
325,Eduisfun,Education,Pre-series A,28000000.0,Mumbai,2019
326,HomeLane,LifeStyle,Series D,30000000.0,Chennai,2019
327,Kratikal,Technology,Pre-series A,1000000.0,Noida,2019
328,Lenskart,Commerce,Series G,275000000.0,New Delhi,2019
329,Kaleidofin,Finance,Series A,5000000.0,Chennai,2019
330,Zest Money,Finance,Series B,15000000.0,Bangalore,2019
331,Seekify,Technology,Pre-series A,1500000.0,New Delhi,2019
332,Toffee Insurance,Finance,Series A,5500000.0,Haryana,2019
333,HungerBox,Food & Beverages,Series C,12000000.0,Bangalore,2019
334,Licious,Food & Beverages,Series E,30000000.0,Bangalore,2019
335,HappyEasyGo,Hospitality,Series B,49400000.0,Gurgaon,2019
336,Zetwerk,Manufacturing,Series B,32000000.0,Bangalore,2019
337,Observe.AI,Technology,Series A,26000000.0,Bangalore,2019
338,Freshokartz,Commerce,Pre-series A,150000.0,Jaipur,2019
339,Trell,Media & Entertainment,Pre-series A,2000000.0,Bangalore,2019
340,Rein Games,Technology,Pre-series A,50000000.0,Noida,2019
341,Ecozen,Agriculture,Series A,6000000.0,Pune,2019
342,Purplle,Beauty & Fashion,Series C,30000000.0,Mumbai,2019
343,Freightwalla,Commerce,Series A,4000000.0,Mumbai,2019
344,eJOHRI,Beauty & Fashion,Pre-series A,1000000.0,Mumbai,2019
345,Moms Co,Commerce,Series B,5000000.0,New Delhi,2019
346,Licious,Food & Beverages,Series D,25000000.0,Bangalore,2019
347,CarDekho,Technology,Series D,70000000.0,Jaipur,2019
348,Shadowfax,Transport,Series D,60000000.0,Bangalore,2019
349,IndyFint,Finance,Series A,2100000.0,Bangalore,2019
350,Kratikal,Technology,Pre-series A,1000000.0,Uttar Pradesh,2019
351,Froogal,Hospitality,Pre-series A,1000000.0,Hyderabad,2019
352,Infra.Market,Technology,Series A,20000000.0,Mumbai,2019
353,GoMechanic,Technology,Series B,5000000.0,New Delhi,2019
354,Krayonnz,Education,Pre-series A,100000.0,Bangalore,2020
355,qZense,Agriculture,Pre-series A,600000.0,Bangalore,2020
356,MyClassboard,Education,Pre-series A,600000.0,Hyderabad,2020
357,Rupeek,Finance,Series C,45000000.0,Bangalore,2020
358,Gig India,Finance,Pre-series A,1000000.0,Pune,2020
359,Slurrp Farm,Food & Beverages,Series A,2000000.0,Gurgaon,2020
360,Shiprocket,Commerce,Series C,7500000.0,New Delhi,2020
361,CoinDCX,Finance,Series B,10000000.0,Mumbai,2020
362,Arya,Agriculture,Series B,21000000.0,Noida,2020
363,Countingwell,Education,Pre-series A,1000000.0,Bangalore,2020
364,Callify.ai,Technology,Pre-series A,560000.0,Mumbai,2020
365,Cover it Up,Commerce,Pre-series A,400000.0,Chennai,2020
366,BiteSpeed,Commerce,Pre-series A,275000.0,Gurgaon,2020
367,WakeFit,Commerce,Series B,20000000.0,Bangalore,2020
368,PagarBook,Technology,Series A,15000000.0,Bangalore,2020
369,Infinite Uptime,Technology,Series B,5100000.0,Pune,2020
370,HappyLocate,Technology,Pre-series A,500000.0,Bangalore,2020
371,Loop Health,Health,Pre-series A,2300000.0,Pune,2020
372,TagMango,Commerce,Pre-series A,700000.0,Mumbai,2020
373,The New Shop,Commerce,Pre-series A,500000.0,New Delhi,2020
374,BHIVE Investech,Business Intelligence,Pre-series A,1000000.0,Bangalore,2020
375,Bombay Play,Manufacturing,Pre-series A,1000000.0,Bangalore,2020
376,Atomberg Technologies,Manufacturing,Series B,9000000.0,Mumbai,2020
377,DealShare,Commerce,Series C,21000000.0,Jaipur,2020
378,CueMath,Education,Series C,40000000.0,Bangalore,2020
379,5C Network,Health,Pre-series A,1200000.0,Bangalore,2020
380,Ethereum Push Notification Service,Finance,Pre-series A,750000.0,Mumbai,2020
381,Mihup,Technology,Series A,1500000.0,Kolkata,2020
382,WayCool Foods,Agriculture,Debt,7800000.0,Chennai,2020
383,Infra.Market,Real Estate,Series B,20000000.0,Thane,2020
384,Clovia,Commerce,Pre-series A,4000000.0,Noida,2020
385,Codingal,Education,Pre-series A,560000.0,Bangalore,2020
386,CRED,Finance,Series C,80000000.0,Bangalore,2020
387,SAWO Labs,Technology,Pre-series A,600000.0,Mumbai,2020
388,GetWork,Business Intelligence,Pre-series A,40000.0,Gurgaon,2020
389,Mobile Premier League (MPL),Manufacturing,Series B,500000.0,Bangalore,2020
390,NewsReach,Media & Entertainment,Pre-series A,1500000.0,Gujarat,2020
391,Cashfree,Finance,Series B,35000000.0,Bangalore,2020
392,Credgenics,Finance,Pre-series A,3000000.0,New Delhi,2020
